ID,CATEGORY_ID,NAME,LABEL,NOTES,GROUP_BY
6401d580-d947-4eae-b3f3-b881c7456c59,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-ogan-komering-ulu,Kabupaten Ogan Komering Ulu,1601,cities
062ecae4-b86a-446e-bb05-bfda744b1cf1,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-ogan-komering-ilir,Kabupaten Ogan Komering Ilir,1602,cities
aefff016-f3af-46c5-83b7-8ef6a0bdce2c,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-muara-enim,Kabupaten Muara Enim,1603,cities
4aa6cf95-a90e-4bd9-84ac-a4d322287774,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-lahat,Kabupaten Lahat,1604,cities
c33412bc-1940-47f8-bc68-60e309f06fbd,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-musi-rawas,Kabupaten Musi Rawas,1605,cities
7b0572b7-0950-43b1-a97e-fa8a876cb05c,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-musi-banyuasin,Kabupaten Musi Banyuasin,1606,cities
23b116f6-479b-49fe-a18f-ae4dca0b58c7,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-banyu-asin,Kabupaten Banyu Asin,1607,cities
12bc1bfe-4d98-4579-bebd-208344331588,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-ogan-komering-ulu-selatan,Kabupaten Ogan Komering Ulu Selatan,1608,cities
3a9a2ad7-ee3a-4aba-a9df-3addcd327061,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-ogan-komering-ulu-timur,Kabupaten Ogan Komering Ulu Timur,1609,cities
5b711e92-cbbc-45e8-badc-f3bc1910de07,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-ogan-ilir,Kabupaten Ogan Ilir,1610,cities
6eb3bae8-314f-4917-ba33-11fc69b57f62,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-empat-lawang,Kabupaten Empat Lawang,1611,cities
bd4b2530-62ee-4e0a-9cdd-82010ada2891,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-penukal-abab-lematang-ilir,Kabupaten Penukal Abab Lematang Ilir,1612,cities
008de50b-58ac-4662-ab54-f5277e68d558,fb8f2f0f-c97b-4261-8301-92b02fae8539,kabupaten-musi-rawas-utara,Kabupaten Musi Rawas Utara,1613,cities
4ec9f8e1-d4fc-41e3-8dfe-49ce33605213,fb8f2f0f-c97b-4261-8301-92b02fae8539,kota-palembang,Kota Palembang,1671,cities
c3728bbf-f762-4ffe-976f-d616dd4bf3c7,fb8f2f0f-c97b-4261-8301-92b02fae8539,kota-prabumulih,Kota Prabumulih,1672,cities
c2955591-f6dd-4120-b199-901702a795ff,fb8f2f0f-c97b-4261-8301-92b02fae8539,kota-pagar-alam,Kota Pagar Alam,1673,cities
a8d3b7c1-a79a-4062-8cee-51d1e36c06c0,fb8f2f0f-c97b-4261-8301-92b02fae8539,kota-lubuklinggau,Kota Lubuklinggau,1674,cities
15cb1fd9-9f4b-4fba-ae36-c3a8c5388536,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-bengkulu-selatan,Kabupaten Bengkulu Selatan,1701,cities
240b6388-192b-4749-8389-e32df00bff9c,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-rejang-lebong,Kabupaten Rejang Lebong,1702,cities
7959b985-524d-451e-9359-20d091c249eb,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-bengkulu-utara,Kabupaten Bengkulu Utara,1703,cities
149fb539-c67e-4f5c-ab34-cedc116672c7,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-kaur,Kabupaten Kaur,1704,cities
5265397d-a2ca-4a87-8a22-bb6359480ae5,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-seluma,Kabupaten Seluma,1705,cities
2e9206b1-8814-43ae-8899-3bd2d22fd418,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-mukomuko,Kabupaten Mukomuko,1706,cities
e3bb0c7d-e030-474a-85f2-d7c6296ee3d0,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-lebong,Kabupaten Lebong,1707,cities
ac8fac98-1612-44cd-bac5-ae381f6f209d,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-kepahiang,Kabupaten Kepahiang,1708,cities
5279d7a7-e01c-44fe-beec-c5b7403a7257,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kabupaten-bengkulu-tengah,Kabupaten Bengkulu Tengah,1709,cities
0b11bc42-5fbf-4d0d-a357-fe097df73c37,970b8c9a-e1f6-4cb2-9a8d-a4d0439b3b99,kota-bengkulu,Kota Bengkulu,1771,cities
2dc34721-705e-4b33-994a-85b34e41f340,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-lampung-barat,Kabupaten Lampung Barat,1801,cities
dbe99659-ef4b-42d1-ab7b-7c8be17fd084,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-tanggamus,Kabupaten Tanggamus,1802,cities
531db12d-b8a0-4229-9956-54d88fdc524e,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-lampung-selatan,Kabupaten Lampung Selatan,1803,cities
ccd92431-34c2-4cb9-8a14-1fcb501efd71,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-lampung-timur,Kabupaten Lampung Timur,1804,cities
5ec869d2-d982-4f9a-b8e2-ecff055eabb6,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-lampung-tengah,Kabupaten Lampung Tengah,1805,cities
98760e3a-96b7-41eb-8764-bb4a279d041d,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-lampung-utara,Kabupaten Lampung Utara,1806,cities
c3d95b01-817f-486c-b30f-b78d652a5e31,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-way-kanan,Kabupaten Way Kanan,1807,cities
f0a615de-c49b-4917-b553-53fb65cd79c3,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-tulangbawang,Kabupaten Tulangbawang,1808,cities
7a595bd6-8cea-4c8b-9ff2-adb0cda1a7c2,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-pesawaran,Kabupaten Pesawaran,1809,cities
3df517db-cee5-4c99-a43e-e784abb28990,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-pringsewu,Kabupaten Pringsewu,1810,cities
c427a8f8-fcfd-4dca-b687-12088edfffe7,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-mesuji,Kabupaten Mesuji,1811,cities
c9068eda-02d5-4147-a9b7-c9639baa09b1,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-tulang-bawang-barat,Kabupaten Tulang Bawang Barat,1812,cities
f89e7d36-a7c5-49b4-8b4a-41dcb7fb326f,770dfaef-40ad-4090-ba22-8187bf607d12,kabupaten-pesisir-barat,Kabupaten Pesisir Barat,1813,cities
8a0b669c-795b-4b16-8eee-a62db6026744,770dfaef-40ad-4090-ba22-8187bf607d12,kota-bandar-lampung,Kota Bandar Lampung,1871,cities
7cb5cbb8-34e6-42cd-bb29-605fd30cc18d,770dfaef-40ad-4090-ba22-8187bf607d12,kota-metro,Kota Metro,1872,cities
